match_id,side,lineup_strength,known_share
28809,h,0.29691493682528874,1.0
28810,a,0.261631840546075,0.9575757575757575
28810,h,0.29703621011844106,0.9093655589123867
28811,a,0.20364575699231793,0.5297679112008072
28811,h,0.22351808044161406,1.0
28812,a,0.2625894852263667,1.0
28812,h,0.20920033307528504,1.0
28813,a,0.27405229352169713,0.45454545454545453
28813,h,0.2587023015047199,0.9858585858585859
28814,a,0.2408810264436459,1.0
28814,h,0.22153577405706568,0.906054279749478
28815,a,0.2732994491789304,0.9525252525252526
28815,h,0.20064523883336635,0.9031281533804238
28816,a,0.4072914071242349,0.998991935483871
28816,h,0.1454075956361408,0.33805668016194335
28817,a,0.27547286005118454,1.0
28817,h,0.29691473390586526,1.0
28818,a,0.20588834843198742,1.0
28818,h,0.38383198536636254,1.0
28819,a,0.23353514815099663,1.0
28819,h,0.231669343962451,0.9090909090909091
28820,a,0.27198033539773214,0.45463709677419356
28820,h,0.17555634557286728,0.8525252525252526
28821,a,0.23057520677678228,1.0
28821,h,0.2506381297714826,1.0
28822,a,0.24507307859891747,0.9858585858585859
28822,h,0.1777750795024208,0.26464646464646463
28823,a,0.2791520340244577,0.997979797979798
28823,h,0.2749996891894446,1.0
28824,a,0.22533385858434485,0.9944690265486725
28824,h,0.2831779119526247,1.0
28825,a,0.2172831812177114,0.9202825428859738
28825,h,0.25101523451022245,0.9818548387096774
28826,a,0.27161844127260726,1.0
28826,h,0.16499769923287602,0.42015005359056806
28827,a,0.2916553008627233,1.0
28827,h,0.2974577465917882,0.9091826437941474
28828,a,0.2909401808299132,1.0
28828,h,0.26824066221256027,0.834510595358224
28829,a,0.2552915577968512,0.9949494949494949
28829,h,0.24386159004222063,0.8460732984293193
28830,a,0.37613586261615994,0.9989909182643795
28830,h,0.2820016241377999,1.0
28831,a,0.2345068383766542,0.9828282828282828
28831,h,0.27459122685035076,1.0
28832,a,0.2709466709341921,0.9777777777777777
28832,h,0.27088895445962563,0.45509586276488395
28833,a,0.1963028080560642,0.2872983870967742
28833,h,0.3213305398872814,1.0
28834,a,0.17462776147016149,0.38282828282828285
28834,h,0.2464726057686989,0.9717457114026236
28835,a,0.17397324955318785,0.8163471241170535
28835,h,0.2346318453596254,1.0
28836,a,0.3102346791586734,0.9091826437941474
28836,h,0.2783843197901141,0.9939455095862765
28837,a,0.23233561634384414,0.8790322580645161
28837,h,0.20321175264104896,1.0
28838,a,0.20014236015877415,0.9808467741935484
28838,h,0.2755656267633381,0.990909090909091
28839,a,0.23080247227329154,0.8606060606060606
28839,h,0.3252900686454652,0.9090909090909091
28840,a,0.16286481780937181,0.40968718466195764
28840,h,0.23861974973149594,1.0
28841,a,0.32491473837729906,1.0
28841,h,0.22265452184608914,0.8324924318869829
28842,a,0.3937292824388168,1.0
28842,h,0.24816874668237243,0.9666666666666667
28843,a,0.28779597227060316,1.0
28843,h,0.2110991999778998,1.0
28844,a,0.2352364857582344,1.0
28844,h,0.28632343111806197,0.44803229061553984
28845,a,0.20111180147515076,0.40505050505050505
28845,h,0.3180459765466036,0.9092741935483871
28846,a,0.21292876012248718,0.8848484848484849
28846,h,0.28949722512567583,1.0
28847,a,0.25925456177591455,0.9636363636363636
28847,h,0.16979528819274958,0.8175403225806451
28848,a,0.29082059924809683,1.0
28848,h,0.24690989537100608,0.9294354838709677
28849,a,0.2690381637054174,0.4383838383838384
28849,h,0.1616848684984421,0.4484848484848485
28850,a,0.24712588121340506,0.9101917255297679
28850,h,0.2933440624464469,1.0
28851,a,0.31671822962404284,0.9091826437941474
28851,h,0.25902180232771965,0.9787878787878788
28852,a,0.3247336316502741,0.9090909090909091
28852,h,0.3917260886653507,1.0
28853,a,0.20628047900062796,1.0
28853,h,0.3191382770957362,1.0
28854,a,0.2401193672490353,0.9888663967611336
28854,h,0.18253478876117651,0.9565656565656566
28855,a,0.1815045911944949,0.8181818181818182
28855,h,0.17718739222565738,0.37336024217961655
28856,a,0.23032643453161106,1.0
28856,h,0.23730424495368468,1.0
28857,a,0.26158505380074015,0.9091826437941474
28857,h,0.20676123964493065,0.9444444444444444
28858,a,0.21470099663567788,0.9515640766902119
28858,h,0.2685719762051032,0.8373737373737373
28859,a,0.29479435892356126,1.0
28859,h,0.30238269552026814,0.9091826437941474
28860,a,0.33779383929074086,1.0
28860,h,0.23348683817650143,1.0
28861,a,0.4274266761879428,0.9848484848484849
28861,h,0.26433996677940086,0.9092741935483871
28862,a,0.1487628876475625,0.44242424242424244
28862,h,0.2630028036739327,0.9707070707070707
28863,a,0.2515737646365832,1.0
28863,h,0.20592961609301716,1.0
28864,a,0.21990870873501034,0.8971774193548387
28864,h,0.20416006965111733,0.5453629032258065
28865,a,0.2494811064030146,0.896969696969697
28865,h,0.3205082314307179,0.9090909090909091
28866,a,0.2503087820192458,0.9566532258064516
28866,h,0.29139530937870234,1.0
28867,a,0.15719354527016816,0.4375
28867,h,0.19985648349371601,0.8335015136226034
28868,a,0.21889003744558783,0.5575757575757576
28868,h,0.2525364303932322,0.9818548387096774
28869,a,0.32466449751680404,0.9515640766902119
28869,h,0.1295323402252791,0.402020202020202
28870,a,0.25646714054454356,0.9121212121212121
28870,h,0.2691765517997666,1.0
28871,a,0.18925376193564888,0.8267379679144385
28871,h,0.25070444013337384,0.922300706357215
28872,a,0.24783637529813762,1.0
28872,h,0.3916799452273529,1.0
28873,a,0.2563228595182603,0.9272727272727272
28873,h,0.33888048057541037,1.0
28874,a,0.3318260692079561,0.9090909090909091
28874,h,0.20392302818120417,0.9182643794147326
